date_releve,marque,modele,nb_total,nb_electrique,proportion_electrique
2026-07-08T14:21:42,Tesla,MODEL 3,11,11,1.0
2026-07-08T14:21:42,Tesla,MODEL X,2,2,1.0
2026-07-08T14:21:42,Tesla,MODEL Y,11,11,1.0
2026-07-08T14:32:30,Peugeot,107,1,0,0.0
2026-07-08T14:32:30,Peugeot,108,12,0,0.0
2026-07-08T14:32:30,Peugeot,2008,191,35,0.1832
2026-07-08T14:32:30,Peugeot,208,109,28,0.2569
2026-07-08T14:32:30,Peugeot,208 AFFAIRE,2,0,0.0
2026-07-08T14:32:30,Peugeot,3008,145,3,0.0207
2026-07-08T14:32:30,Peugeot,308,89,6,0.0674
2026-07-08T14:32:30,Peugeot,308 AFFAIRE,2,0,0.0
2026-07-08T14:32:30,Peugeot,308 SW,27,1,0.037
2026-07-08T14:32:30,Peugeot,408,33,3,0.0909
2026-07-08T14:32:30,Peugeot,5008,72,0,0.0
2026-07-08T14:32:30,Peugeot,508,6,0,0.0
2026-07-08T14:32:30,Peugeot,508 SW,8,0,0.0
2026-07-08T14:32:30,Peugeot,Boxer,1,0,0.0
2026-07-08T14:32:30,Peugeot,Boxer Fourgon,2,0,0.0
2026-07-08T14:32:30,Peugeot,Expert Fourgon,4,0,0.0
2026-07-08T14:32:30,Peugeot,Partner Tepee,1,0,0.0
2026-07-08T14:32:30,Peugeot,RIFTER,0,0,0.0
2026-07-08T14:32:30,Peugeot,Rifter,7,0,0.0
2026-07-08T14:36:42,Alfa Romeo,Giulia,1,0,0.0
2026-07-08T14:36:42,Alfa Romeo,Junior,11,5,0.4545
2026-07-08T14:36:42,Alfa Romeo,Stelvio,2,0,0.0
2026-07-08T14:36:42,Alfa Romeo,Tonale,15,0,0.0
2026-07-08T14:36:42,Alpine,A290,1,1,1.0
2026-07-08T14:36:42,Audi,A1 Citycarver,1,0,0.0
2026-07-08T14:36:42,Audi,A1 Sportback,9,0,0.0
2026-07-08T14:36:42,Audi,A3 Berline,2,0,0.0
2026-07-08T14:36:42,Audi,A3 Sportback,19,0,0.0
2026-07-08T14:36:42,Audi,A4 Avant,3,0,0.0
2026-07-08T14:36:42,Audi,A5 Sportback,1,0,0.0
2026-07-08T14:36:42,Audi,A6 Avant,1,0,0.0
2026-07-08T14:36:42,Audi,E-TRON,2,2,1.0
2026-07-08T14:36:42,Audi,Q2,15,0,0.0
2026-07-08T14:36:42,Audi,Q3,3,0,0.0
2026-07-08T14:36:42,Audi,Q3 Sportback,1,0,0.0
2026-07-08T14:36:42,Audi,Q5,1,0,0.0
2026-07-08T14:36:42,Audi,Q5 Sportback,1,0,0.0
2026-07-08T14:36:42,BMW,Série 1,17,0,0.0
2026-07-08T14:36:42,BMW,Série 2 Active Tourer,5,0,0.0
2026-07-08T14:36:42,BMW,Série 3,1,0,0.0
2026-07-08T14:36:42,BMW,Série 3 Touring,4,0,0.0
2026-07-08T14:36:42,BMW,Série 5 Touring,2,0,0.0
2026-07-08T14:36:42,BMW,X1,15,0,0.0
2026-07-08T14:36:42,BMW,X2,4,0,0.0
2026-07-08T14:36:42,BMW,X3,2,0,0.0
2026-07-08T14:36:42,BMW,Z4 ROADSTER,1,0,0.0
2026-07-08T14:36:42,BMW,i4,2,2,1.0
2026-07-08T14:36:42,BMW,iX1,2,2,1.0
2026-07-08T14:36:42,BYD,Atto 2,2,2,1.0
2026-07-08T14:36:42,BYD,DOLPHIN SURF,1,1,1.0
2026-07-08T14:36:42,BYD,Dolfin Surf,1,1,1.0
2026-07-08T14:36:42,BYD,Dolphin,1,1,1.0
2026-07-08T14:36:42,BYD,SEAL 6 TOURING,4,0,0.0
2026-07-08T14:36:42,BYD,Seal 6,3,0,0.0
2026-07-08T14:36:42,BYD,Seal 6 Touring,0,0,0.0
2026-07-08T14:36:42,BYD,Seal U,11,0,0.0
2026-07-08T14:36:42,Citroën,AMI,6,6,1.0
2026-07-08T14:36:42,Citroën,BERLINGO FOURGON ELECTRIC,1,1,1.0
2026-07-08T14:36:42,Citroën,Berlingo,9,4,0.4444
2026-07-08T14:36:42,Citroën,Berlingo Fourgon,1,0,0.0
2026-07-08T14:36:42,Citroën,C-ZERO,1,1,1.0
2026-07-08T14:36:42,Citroën,C1,2,0,0.0
2026-07-08T14:36:42,Citroën,C3,54,12,0.2222
2026-07-08T14:36:42,Citroën,C3 Aircross,40,5,0.125
2026-07-08T14:36:42,Citroën,C3 Picasso,1,0,0.0
2026-07-08T14:36:42,Citroën,C4,52,9,0.1731
2026-07-08T14:36:42,Citroën,C4 CACTUS BUSINESS,1,0,0.0
2026-07-08T14:36:42,Citroën,C4 Cactus,14,0,0.0
2026-07-08T14:36:42,Citroën,C4 Picasso,3,0,0.0
2026-07-08T14:36:42,Citroën,C4 X,3,0,0.0
2026-07-08T14:36:42,Citroën,C5 Aircross,73,0,0.0
2026-07-08T14:36:42,Citroën,C5 X,8,0,0.0
2026-07-08T14:36:42,Citroën,E-C4,1,1,1.0
2026-07-08T14:36:42,Citroën,GRAND C4 SPACETOURER,4,0,0.0
2026-07-08T14:36:42,Citroën,Grand C4 Picasso,2,0,0.0
2026-07-08T14:36:42,Citroën,Grand C4 Spacetourer,0,0,0.0
2026-07-08T14:36:42,Citroën,JUMPY CABINE APPROFONDIE,1,0,0.0
2026-07-08T14:36:42,Citroën,Jumper Fourgon,1,0,0.0
2026-07-08T14:36:42,Cupra,Ateca,1,0,0.0
2026-07-08T14:36:42,Cupra,Born,1,1,1.0
2026-07-08T14:36:42,Cupra,FORMENTOR,15,0,0.0
2026-07-08T14:36:42,Cupra,Formentor,0,0,0.0
2026-07-08T14:36:42,Cupra,Leon,1,0,0.0
2026-07-08T14:36:42,Cupra,Leon Sportstourer,2,0,0.0
2026-07-08T14:36:42,Cupra,Terramar,2,0,0.0
2026-07-08T14:36:42,DS,DS3 CROSSBACK,14,2,0.1429
2026-07-08T14:36:42,DS,DS4,18,0,0.0
2026-07-08T14:36:42,DS,DS4 CROSSBACK,1,0,0.0
2026-07-08T14:36:42,DS,DS7,21,0,0.0
2026-07-08T14:36:42,DS,DS7 CROSSBACK,14,0,0.0
2026-07-08T14:36:42,DS,N 4,6,0,0.0
2026-07-08T14:36:42,Dacia,Bigster,30,0,0.0
2026-07-08T14:36:42,Dacia,Duster,74,0,0.0
2026-07-08T14:36:42,Dacia,JOGGER,8,0,0.0
2026-07-08T14:36:42,Dacia,Jogger,0,0,0.0
2026-07-08T14:36:42,Dacia,Logan,1,0,0.0
2026-07-08T14:36:42,Dacia,SPRING,18,18,1.0
2026-07-08T14:36:42,Dacia,Sandero,24,0,0.0
2026-07-08T14:36:42,Fiat,500,39,25,0.641
2026-07-08T14:36:42,Fiat,500 L,1,0,0.0
2026-07-08T14:36:42,Fiat,500C,5,2,0.4
2026-07-08T14:36:42,Fiat,500X,10,0,0.0
2026-07-08T14:36:42,Fiat,600,14,1,0.0714
2026-07-08T14:36:42,Fiat,DUCATO FOURGON,1,0,0.0
2026-07-08T14:36:42,Fiat,Panda,6,0,0.0
2026-07-08T14:36:42,Fiat,Pandina,2,0,0.0
2026-07-08T14:36:42,Fiat,Tipo,3,0,0.0
2026-07-08T14:36:42,Fiat,Tipo Cross,1,0,0.0
2026-07-08T14:36:42,Fiat,Tipo SW,1,0,0.0
2026-07-08T14:36:42,Ford,Ecosport,1,0,0.0
2026-07-08T14:36:42,Ford,Fiesta,14,0,0.0
2026-07-08T14:36:42,Ford,Focus,15,0,0.0
2026-07-08T14:36:42,Ford,Focus SW,7,0,0.0
2026-07-08T14:36:42,Ford,Fusion,1,0,0.0
2026-07-08T14:36:42,Ford,Kuga,7,0,0.0
2026-07-08T14:36:42,Ford,Mondeo,1,0,0.0
2026-07-08T14:36:42,Ford,Mustang MACH-E,1,1,1.0
2026-07-08T14:36:42,Ford,PUMA,45,0,0.0
2026-07-08T14:36:42,Ford,Puma,0,0,0.0
2026-07-08T14:36:42,Ford,TOURNEO COURIER,1,0,0.0
2026-07-08T14:36:42,Honda,CR-V,2,0,0.0
2026-07-08T14:36:42,Honda,Civic,2,0,0.0
2026-07-08T14:36:42,Honda,HR-V,1,0,0.0
2026-07-08T14:36:42,Honda,Jazz,1,0,0.0
2026-07-08T14:36:42,Hyundai,BAYON,1,0,0.0
2026-07-08T14:36:42,Hyundai,Ioniq,1,0,0.0
2026-07-08T14:36:42,Hyundai,Kona,14,4,0.2857
2026-07-08T14:36:42,Hyundai,Tucson,31,0,0.0
2026-07-08T14:36:42,Hyundai,i10,4,0,0.0
2026-07-08T14:36:42,Hyundai,i20,1,0,0.0
